日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Eligible Ads for Viewability,Measured Ads,% Measured Ads,Viewable Impressions,% Viewable Impressions,Non-Viewable Ads,% Non-Viewable Ads,Average Time In View (Sec)
20260126,15,英屬維京群島商浩美數位有限公司台灣分公司,2315,Teepr亮新聞-exchange,10012,CF_336x280Banner_Teepr亮新聞-exchange,,知名媒體,,584,292,292,100.00%,16,5.48%,276,94.52%,0.25
20260126,15,第一網站股份有限公司,2300,keketravel,10594,(子)CF_336x280_keketravel,,,子聯播網,8,0,0,0.00%,0,0.00%,0,0.00%,0.00
20260126,15,昱得資訊工作室,2528,數位書香,11080,CF_728x90_首頁上方_數位書香,antifroud,,,7,3,3,100.00%,1,33.33%,2,66.67%,23.84
20260126,15,昱得資訊工作室,2528,數位書香,11081,CF_160x600_首頁右側_數位書香,antifroud,,,444,205,205,100.00%,89,43.41%,116,56.59%,3.21
20260126,15,第一網站股份有限公司,2540,risu短網址,11260,MW-300X250-MB_page_left-risu,,知名媒體,,12,4,4,100.00%,3,75.00%,1,25.00%,1.89
20260126,15,第一網站股份有限公司,2492,ttshow,11273,MW-300X250-ttshow,,知名媒體,,12,6,6,100.00%,2,33.33%,4,66.67%,1.20
20260126,15,第一網站股份有限公司,2601,Meme梗圖倉庫,11443,CF-336X280-meme,,,,353,159,159,100.00%,14,8.81%,145,91.19%,0.98
20260126,15,艾得基客行銷顧問股份有限公司,2578,鉅亨網,12070,MW_320x480_文中創意_鉅亨網,,知名媒體,,"7,729","3,814","3,814",100.00%,"2,940",77.08%,874,22.92%,14.89
20260126,15,時報資訊股份有限公司,2770,中時電子報_HB,12561,MW_300x250_內頁TOP Banner_中時電子報_HB,antifroud,知名媒體,,"7,723","3,803","3,803",100.00%,697,18.33%,"3,106",81.67%,1.28
20260126,15,第一網站股份有限公司,2768,czbooks,12570,CF_728x90_banner_czbooks,,,,"62,948","31,046","31,046",100.00%,"23,389",75.34%,"7,657",24.66%,4.61
20260126,15,鳳梨傳媒股份有限公司,2190,民視新聞網-Exchange,12579,CF_300x250_右側第一塊_民視新聞網-Exchange(RWD)(MCM),,知名媒體,,"3,963","1,946","1,946",100.00%,157,8.07%,"1,789",91.93%,1.73
20260126,15,鳳梨傳媒股份有限公司,2190,民視新聞網-Exchange,12580,CF_300x250_內文文中左側_民視新聞網-Exchange(RWD)(MCM),,知名媒體,,"4,379","2,146","2,146",100.00%,211,9.83%,"1,935",90.17%,1.69
20260126,15,第一網站股份有限公司,2783,漫畫櫃manhuagui,12676,CF_728X90_manhuagui,antifroud,,,"42,570","20,872","20,872",100.00%,"7,461",35.75%,"13,411",64.25%,4.38
20260126,15,艾得基客行銷顧問股份有限公司,2635,工商時報,12761,MW_320x480_文中創意_工商時報new,,知名媒體,,310,153,153,100.00%,111,72.55%,42,27.45%,16.70
20260126,15,第一網站股份有限公司,2801,damanwoo,12868,CF-300x250_Banner_damanwoo_大人物,,,,6,2,2,100.00%,0,0.00%,2,100.00%,0.00
20260126,15,第一網站股份有限公司,2820,星座好朋友(horofriend88),12966,MW_320x100_horofriend88,antifroud,,,80,40,40,100.00%,40,100.00%,0,0.00%,24.75
20260126,15,東森電視事業股份有限公司,2014,東森新聞網,13162,MW_置底創意(展開)_東森新聞網,antifroud,知名媒體,,338,166,166,100.00%,152,91.57%,14,8.43%,2.68
20260126,15,曾憲敏,202,85小說網,13445,MW_336X280_全量1_85小說網,,,,236,118,118,100.00%,58,49.15%,60,50.85%,7.39
20260126,15,曾憲敏,202,85小說網,13446,MW_336X280_全量2_85小說網,,,,"2,703","1,346","1,346",100.00%,739,54.90%,607,45.10%,5.77
20260126,15,曾憲敏,601,85小說網_PC,13450,(子)CF_336x280_全量2_85小說網,,,子聯播網,308,152,152,100.00%,130,85.53%,22,14.47%,13.93
20260126,15,第一網站股份有限公司,2768,czbooks,13481,MW_300x250_banner_czbooks,antifroud,,子聯播網,"45,272","22,392","22,392",100.00%,"8,748",39.07%,"13,644",60.93%,2.71
20260126,15,第一網站股份有限公司,2910,clickme,13548,(子)CF_300x250_banner_clickme(一般),,,子聯播網,778,352,352,100.00%,129,36.65%,223,63.35%,2.71
20260126,15,第一網站股份有限公司,2910,clickme,13549,CF_300x250_banner_clickme(一般),,,,745,396,396,100.00%,39,9.85%,357,90.15%,0.38
20260126,15,第一網站股份有限公司,2916,KiKiNote,13576,(子)CF_300x250_banner_kikinote,,知名媒體,子聯播網,"1,866",861,861,100.00%,132,15.33%,729,84.67%,0.48
20260126,15,闇碼科技股份有限公司,2992,縮短網址產生器-reurl-exchange,13848,CF_300x250_轉址失敗_最右邊_reurl,,知名媒體,,6,0,0,0.00%,0,0.00%,0,0.00%,0.00
20260126,15,闇碼科技股份有限公司,2992,縮短網址產生器-reurl-exchange,13856,CF_300x250_轉址失敗頁第二塊_reurl,,知名媒體,,6,0,0,0.00%,0,0.00%,0,0.00%,0.00
20260126,15,第一網站股份有限公司,2768,czbooks,13903,(子)CF_300x250_banner_czbooks(直播),antifroud,,子聯播網,"240,645","126,121","126,117",100.00%,"30,641",24.30%,"95,476",75.70%,1.05
20260126,15,第一網站股份有限公司,2768,czbooks,14036,MW_320x480_CZBOOKS,antifroud,,,666,317,317,100.00%,139,43.85%,178,56.15%,4.24
20260126,15,陳人鳳,480,飛格寵物家族_PC,1407,CF-728X90_上方通欄_飛格寵物家族,,,,26,4,4,100.00%,3,75.00%,1,25.00%,3.75
20260126,15,陳人鳳,480,飛格寵物家族_PC,1408,CF-300X250_內文_飛格寵物家族,,,,86,21,21,100.00%,13,61.90%,8,38.10%,5.70
20260126,15,東森電視事業股份有限公司,2014,東森新聞網,14097,MW_蓋版_東森新聞網,,知名媒體,,"1,893",931,931,100.00%,8,0.86%,923,99.14%,0.13
20260126,15,闇碼科技股份有限公司,3048,縮短網址產生器-reurl,14210,MW_文中創意300x250_縮短網址產生器-reurl,,知名媒體,,146,55,55,100.00%,29,52.73%,26,47.27%,2.60
20260126,15,朱漢崴,3050,查電話_exchange,14221,MW_336x280_查電話首頁_最新回報下方 _whocll 查電話,,,,6,3,3,100.00%,2,66.67%,1,33.33%,3.33
20260126,15,富盈數據股份有限公司,3059,塔科女子,14258,CF_336x280_全網_塔科女子,,知名媒體,,132,69,69,100.00%,34,49.28%,35,50.72%,3.02
20260126,15,CBROOT LTD,3003,包子漫畫-exchange,14291,MW_300x250_蓋板(PB)_包子漫畫,,,,235,117,117,100.00%,54,46.15%,63,53.85%,10.00
20260126,15,朱光宁,3152,石頭小說-exchange,14472,MW_336x280_Banner_石頭小說,,,,"5,574","2,740","2,740",100.00%,"2,027",73.98%,713,26.02%,7.91
20260126,15,朱光宁,3268,稷下書院-mobile,14737,MW_置底創意(非展開)_稷下書院-mobile,,,,6,3,3,100.00%,3,100.00%,0,0.00%,6.11
20260126,15,朱光宁,3149,稷下書院-exchange,14748,MW_320x100_置底(PB)_稷下書院,,,,"19,156","9,420","9,420",100.00%,288,3.06%,"9,132",96.94%,0.11
20260126,15,巨思文化股份有限公司,3053,數位時代_HB,14764,MW_置底創意_(非展開)_數位時代_HB,,知名媒體,,80,39,39,100.00%,37,94.87%,2,5.13%,27.07
20260126,15,曾憲敏,3327,85小說網_創意,15228,MW-創意-85小說網,,,,403,201,201,100.00%,188,93.53%,13,6.47%,13.12
20260126,15,千晶文化事業股份有限公司,3336,Beauty 美人圈,15254,MW_置底創意(非展開)_ Beauty 美人圈,,知名媒體,,510,255,255,100.00%,236,92.55%,19,7.45%,30.49
20260126,15,中天電視股份有限公司,3282,中天新聞網-exchange,15859,CF_336x280_內頁_PC右側互動看板B-中天新聞網-exchange,,知名媒體,,"1,296",561,561,100.00%,262,46.70%,299,53.30%,5.93
20260126,15,CBROOT LTD,3352,西瓜卡通-exchange,15970,CF_160x600_影音內容_西瓜卡通-exchange,,,,6,3,3,100.00%,0,0.00%,3,100.00%,0.00
20260126,15,朱光宁,3360,提莫書屋-exchange,16957,MW_336x280banner_提莫書屋_exchange,,,,"14,231","7,065","7,065",100.00%,"5,415",76.65%,"1,650",23.35%,6.51
20260126,15,朱光宁,3361,提莫書屋-mobile,16958,MW_置底創意_提莫書屋-mobile,,,,88,44,44,100.00%,42,95.45%,2,4.55%,30.71
20260126,15,朱光宁,3361,提莫書屋-mobile,16959,MW_320x480_文中創意_提莫書屋-mobile,,,,48,24,24,100.00%,21,87.50%,3,12.50%,5.71
20260126,15,欣發現股份有限公司,3365,Hami任務牆-mobile,16969,MW_置底創意_Hami任務牆,,知名媒體,,6,3,3,100.00%,3,100.00%,0,0.00%,4.59
20260126,15,欣發現股份有限公司,3364,女子學-mobile,16972,MW_置底創意_女子學,antifroud,,,74,34,34,100.00%,0,0.00%,34,100.00%,0.08
20260126,15,欣發現股份有限公司,3363,大人物-mobile,16973,MW_置底創意_大人物,,知名媒體,,12,6,6,100.00%,6,100.00%,0,0.00%,18.41
20260126,15,第一網站股份有限公司,2783,漫畫櫃manhuagui,17027,MW_320x480_蓋版_漫畫櫃manhuagui,,,,"1,204",582,582,100.00%,350,60.14%,232,39.86%,3.07
20260126,15,朱光宁,3268,稷下書院-mobile,17207,MW_320x480_蓋版_稷下書院-mobile,,,,"11,899","4,801","4,801",100.00%,"2,280",47.49%,"2,521",52.51%,3.69
20260126,15,李立娟,3395,vivi0視頻-exchange,17293,CF_336x280_Banner_vivi01視頻-exchange,antifroud,,,"27,883","13,701","13,701",100.00%,"2,193",16.01%,"11,508",83.99%,0.40
20260126,15,李立娟,3395,vivi0視頻-exchange,17294,MW_336x280_Banner_vivi01視頻-exchange,antifroud,,,"38,921","19,099","19,099",100.00%,"7,580",39.69%,"11,519",60.31%,1.55
20260126,15,李立娟,3395,vivi0視頻-exchange,17300,MW_320x100_置底(PB)_vivi01視頻-exchange,antifroud,,,"47,205","23,170","23,170",100.00%,"15,697",67.75%,"7,473",32.25%,15.66
20260126,15,李立娟,3397,趣聞圖說-exchange,17309,MW_336x280_文中Banner_趣聞圖說-exchange,,,,650,135,135,100.00%,26,19.26%,109,80.74%,1.45
20260126,15,曾憲敏,601,85小說網_PC,1773,CF-300x250_85小說網_內文1,,,,345,172,172,100.00%,154,89.53%,18,10.47%,18.04
20260126,15,李立娟,3396,趣聞圖說-Mobile,17923,MW_置底創意(展開)_趣聞圖說-Mobile,,,,12,6,6,100.00%,6,100.00%,0,0.00%,15.75
20260126,15,第一網站股份有限公司,2768,czbooks,17927,MW_置底創意_czbook,,,,"6,367","3,156","3,156",100.00%,"2,904",92.02%,252,7.98%,11.82
20260126,15,第一網站股份有限公司,3440,fsa_passback_first,18201,CF_336x280_fsa_passback_first,,,,22,11,11,100.00%,2,18.18%,9,81.82%,0.86
20260126,15,第一網站股份有限公司,3440,fsa_passback_first,18202,CF_300x250_fsa_passback_first,,,,"3,314","1,587","1,587",100.00%,"1,032",65.03%,555,34.97%,43.81
20260126,15,朱光宁,3268,稷下書院-mobile,18297,MW_置底創意(展開)_稷下書院-mobile,,,,112,55,55,100.00%,51,92.73%,4,7.27%,3.16
